2022-07-05 21:07:473 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:669 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (84d64d4b1ff92d66e6208e8da1fdba9d)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 21:07:414 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (84d64d4b1ff92d66e6208e8da1fdba9d)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 21:07:731 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (84d64d4b1ff92d66e6208e8da1fdba9d)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:913 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:889 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (103d95fbab982e5dc8bca2f94e56a41d)] -> xpath: //button[@id='truste-consent-button']]
2022-07-05 21:07:245 INFO  HomePage :53 - Clicking on allSports Button Button[[ChromeDriver: chrome on WINDOWS (103d95fbab982e5dc8bca2f94e56a41d)] -> xpath: //div[@class='Select_select__24c5n']]
2022-07-05 21:07:624 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (103d95fbab982e5dc8bca2f94e56a41d)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:886 INFO  HomePage :59 - Selecting kbo from droppdownKBO from dropdown [[ChromeDriver: chrome on WINDOWS (103d95fbab982e5dc8bca2f94e56a41d)] -> xpath: //select[@class='Select_select__24c5n']]
2022-07-05 21:07:766 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:864 INFO  ManageDriver :34 - Launching Chrome Browser
2022-07-05 21:07:199 INFO  HomePage :47 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (7b96aa5a65c7f7553362398128676bb0)] -> xpath: //button[@id='truste-consent-button']]
